ip		px:		py:		pz:
522		5.11766		8.58091		2.80883
523		6.27208		8.58091		2.80883
524		7.42649		8.58091		2.80883
525		8.58091		8.58091		2.80883
526		9.73533		8.58091		2.80883
527		10.8897		8.58091		2.80883
528		12.0442		8.58091		2.80883
529		13.1986		8.58091		2.80883
530		14.353		8.58091		2.80883
531		15.5074		8.58091		2.80883
532		0.5		9.73533		2.80883
533		1.65442		9.73533		2.80883
534		2.80883		9.73533		2.80883
535		3.96325		9.73533		2.80883
536		5.11766		9.73533		2.80883
537		6.27208		9.73533		2.80883
538		7.42649		9.73533		2.80883
539		8.58091		9.73533		2.80883
540		9.73533		9.73533		2.80883
541		10.8897		9.73533		2.80883
542		12.0442		9.73533		2.80883
543		13.1986		9.73533		2.80883
544		14.353		9.73533		2.80883
545		15.5074		9.73533		2.80883
546		0.5		10.8897		2.80883
547		1.65442		10.8897		2.80883
548		2.80883		10.8897		2.80883
549		3.96325		10.8897		2.80883
550		5.11766		10.8897		2.80883
551		6.27208		10.8897		2.80883
552		7.42649		10.8897		2.80883
553		8.58091		10.8897		2.80883
554		9.73533		10.8897		2.80883
555		10.8897		10.8897		2.80883
556		12.0442		10.8897		2.80883
557		13.1986		10.8897		2.80883
558		14.353		10.8897		2.80883
559		15.5074		10.8897		2.80883
560		0.5		12.0442		2.80883
561		1.65442		12.0442		2.80883
562		2.80883		12.0442		2.80883
563		3.96325		12.0442		2.80883
564		5.11766		12.0442		2.80883
565		6.27208		12.0442		2.80883
566		7.42649		12.0442		2.80883
567		8.58091		12.0442		2.80883
568		9.73533		12.0442		2.80883
569		10.8897		12.0442		2.80883
570		12.0442		12.0442		2.80883
571		13.1986		12.0442		2.80883
572		14.353		12.0442		2.80883
573		15.5074		12.0442		2.80883
574		0.5		13.1986		2.80883
575		1.65442		13.1986		2.80883
576		2.80883		13.1986		2.80883
577		3.96325		13.1986		2.80883
578		5.11766		13.1986		2.80883
579		6.27208		13.1986		2.80883
580		7.42649		13.1986		2.80883
581		8.58091		13.1986		2.80883
582		9.73533		13.1986		2.80883
583		10.8897		13.1986		2.80883
584		12.0442		13.1986		2.80883
585		13.1986		13.1986		2.80883
586		14.353		13.1986		2.80883
587		15.5074		13.1986		2.80883
588		0.5		14.353		2.80883
589		1.65442		14.353		2.80883
590		2.80883		14.353		2.80883
591		3.96325		14.353		2.80883
592		5.11766		14.353		2.80883
593		6.27208		14.353		2.80883
594		7.42649		14.353		2.80883
595		8.58091		14.353		2.80883
596		9.73533		14.353		2.80883
597		10.8897		14.353		2.80883
598		12.0442		14.353		2.80883
599		13.1986		14.353		2.80883
600		14.353		14.353		2.80883
601		15.5074		14.353		2.80883
602		0.5		15.5074		2.80883
603		1.65442		15.5074		2.80883
604		2.80883		15.5074		2.80883
605		3.96325		15.5074		2.80883
606		5.11766		15.5074		2.80883
607		6.27208		15.5074		2.80883
608		7.42649		15.5074		2.80883
609		8.58091		15.5074		2.80883
